Incident Date,Latitude,Longitude
2018-01-01,37.720151465688616,-122.44927919330355
2018-01-01,37.71073194458116,-122.41877184294184
2018-01-01,37.788699045143865,-122.42030688368688
2018-01-01,37.74042723689201,-122.492706080325
2018-01-01,37.78321431177312,-122.41076482950652
2018-01-01,37.7999779786546,-122.44284609303044
2018-01-01,37.78037272095248,-122.44058931920652
2018-01-01,37.74816568813204,-122.41822117169174
2018-01-01,37.80112513149268,-122.41137627177316
2018-01-01,37.75220444116967,-122.4190175437401
2018-01-01,37.73884664690457,-122.3978095470368
2018-01-01,37.71967200525496,-122.4671528181092
2018-01-01,37.80328399631487,-122.44691011930168
2018-01-01,37.7761378357141,-122.436318144307
2018-01-01,37.720929617776726,-122.3972709830318
2018-01-01,37.72468255342173,-122.434798414744
2018-01-01,37.78339985751909,-122.42429481397212
2018-01-01,37.78310139923345,-122.41918170505188
2018-01-01,37.77871942789032,-122.4147412230519
2018-01-01,37.78795027159103,-122.43364712515256
2018-01-01,37.78300407764348,-122.4124117474483
2018-01-01,37.77541686019655,-122.43448332106492
2018-01-01,37.73474802881078,-122.39937464413649
2018-01-01,37.77031275155392,-122.45205522168708
2018-01-01,37.78735926098589,-122.40822672700406
2018-01-01,37.71073194458116,-122.41877184294184
2018-01-01,37.8047903066652,-122.42017812719196
2018-01-01,37.74816568813204,-122.41822117169174
2018-01-01,37.78735926098589,-122.40822672700406
2018-01-01,37.80727586975037,-122.41561643757444
2018-01-01,37.78808218625765,-122.41005693097291
2018-01-01,37.76228996810526,-122.40132418490649
2018-01-01,37.798776308543445,-122.40720639505004
2018-01-01,37.77021017395845,-122.44534499148274
2018-01-01,37.73339282254485,-122.42942200371436
2018-01-01,37.77601659060897,-122.44477989251511
2018-01-01,37.75395723424183,-122.48289935733482
2018-01-01,37.79786461185716,-122.40666793238798
2018-01-01,37.77965775127483,-122.40928340438032
2018-01-01,37.782169269140326,-122.4189932746152
2018-01-01,37.782802248999005,-122.46762910232071
2018-01-01,37.74115592356505,-122.46322036291429
2018-01-01,37.77140464965421,-122.41452608925644
2018-01-01,37.761967527761925,-122.41717893750248
2018-01-01,37.77745741894575,-122.4131576926893
2018-01-01,37.71420948273576,-122.43617646639476
2018-01-01,37.77189726490146,-122.43209230178827
2018-01-01,37.78735926098589,-122.40822672700406
2018-01-01,37.781863337992526,-122.41386560526722
2018-01-01,37.777722750028566,-122.41640107183976
2018-01-01,37.76234101171303,-122.4239265643018
2018-01-01,37.80165391431781,-122.42966684643908
2018-01-01,37.78205693816477,-122.4273963984862
2018-01-01,37.74300263165964,-122.47676460087207
2018-01-01,37.77929638972304,-122.3953038732683
2018-01-01,37.77000760474354,-122.44693382058487
2018-01-01,37.74971662711626,-122.40689644914283
2018-01-01,37.79323049132005,-122.3931813328012
2018-01-01,37.72200021987423,-122.43360633930074
2018-01-01,37.77004977136961,-122.40700149161678
2018-01-01,37.743591586784106,-122.41227763177872
2018-01-01,37.80528698382421,-122.42365507596732
2018-01-01,37.74237875090492,-122.38385037661996
2018-01-01,37.72171587946975,-122.39594382884452
2018-01-01,37.72891511528458,-122.41397072591572
2018-01-01,37.78321431177312,-122.41076482950652
2018-01-01,37.74411544389778,-122.4940384739641
2018-01-01,37.7984422945084,-122.40987875494628
2018-01-01,37.7169775067907,-122.45189499287864
2018-01-01,37.72872954740928,-122.43129384491388
2018-01-01,37.78211912156566,-122.39684142850209
2018-01-01,37.76564283029964,-122.42770449544896
2018-01-01,37.77953343149908,-122.44387726921616
2018-01-01,37.80821405292514,-122.41580242607432
2018-01-01,37.79629076467548,-122.4117189392694
2018-01-01,37.77737199450485,-122.39976258647586
2018-01-01,37.733158156770784,-122.39531087965166
2018-01-01,37.7751608100771,-122.40363551943442
2018-01-01,37.78071557225048,-122.43042441598712
2018-01-01,37.77821277086995,-122.43505239147956
2018-01-01,37.7843492684367,-122.4093091807476
2018-01-01,37.72202599380391,-122.4292494398408
2018-01-01,37.778956863808695,-122.42170930842168
2018-01-01,37.76564283029964,-122.42770449544896
2018-01-01,37.77485794818856,-122.4276310004111
2018-01-01,37.79426362569207,-122.40630498702016
2018-01-01,37.78445272883687,-122.40849315881204
2018-01-01,37.7984422945084,-122.40987875494628
2018-01-01,37.78130584465505,-122.40624777655574
2018-01-01,37.77931467375296,-122.4066282007833
2018-01-01,37.76750445867602,-122.42894856756236
2018-01-01,37.732261252752224,-122.42348641495892
2018-01-01,37.75562144550937,-122.3957626269508
2018-01-01,37.77945871477991,-122.40237749311284
2018-01-01,37.78462090457951,-122.46883973931594
2018-01-01,37.82452429749066,-122.37559311370266
2018-01-01,37.72990988256753,-122.39717687851248
2018-01-01,37.74636177868099,-122.39105679712928
2018-01-01,37.7984422945084,-122.40987875494628
2018-01-01,37.78494400502596,-122.4347299934904
2018-01-01,37.77139603094359,-122.50989475109743
2018-01-01,37.73660452681319,-122.38363786204994
2018-01-01,37.79323049132005,-122.3931813328012
2018-01-01,37.7133620895825,-122.44395162934734
2018-01-01,37.76088893209152,-122.4350007026991
2018-01-01,37.76337555115752,-122.42043281853437
2018-01-01,37.77430889454504,-122.45837109983862
2018-01-01,37.80516008888232,-122.44728687223576
2018-01-01,37.7984422945084,-122.40987875494628
2018-01-01,37.77562608768549,-122.43282972923808
2018-01-01,37.78766359783455,-122.41335396485418
2018-01-01,37.80094306477118,-122.40764549330264
2018-01-01,37.77950408609593,-122.49759171650147
2018-01-01,37.76014229534401,-122.39435242981628
2018-01-01,37.76382320609948,-122.41358757032155
2018-01-01,37.77562608768549,-122.43282972923808
